,source,target
1676,564,9111
1677,564,2713
1678,565,7478
1679,565,6986
1680,566,2289
1681,566,8423
1682,567,2742
1683,567,5959
1684,567,7593
1685,568,4042
1686,568,568
1687,568,4335
1688,568,3106
1689,569,5426
1690,569,1967
1691,569,3295
1692,569,4995
1693,569,1921
1694,569,5135
1695,570,7773
1696,570,1664
1697,570,6449
1698,571,1011
1699,571,8039
1700,571,4805
1701,572,7318
1702,572,7518
1703,573,2275
1704,573,3752
1705,573,6138
1706,573,3204
1707,574,2175
1708,574,1521
1709,574,5772
1710,575,3647
1711,575,3883
1712,575,2239
1713,576,4159
1714,576,5827
1715,576,8849
1716,577,5773
1717,577,3628
1718,577,3036
1719,577,7354
1720,578,4259
1721,578,6246
1722,578,7140
1723,578,1596
1724,579,1606
1725,580,4395
1726,580,6948
1727,580,4862
1728,581,6182
1729,581,3078
1730,581,4281
1731,582,6422
1732,583,5198
1733,583,7627
1734,584,8407
1735,584,3561
1736,584,7290
1737,585,6016
1738,586,7191
1739,586,3715
1740,587,4551
1741,587,5153
1742,588,2776
1743,588,1558
1744,588,614
1745,589,8418
1746,589,622
1747,589,4087
1748,590,1774
1749,590,3801
1750,590,5378
1751,590,7550
1752,590,6623
1753,590,6519
1754,590,6578
1755,590,5831
1756,590,2843
1757,591,9147
1758,591,2443
1759,592,3993
1760,592,1668
1761,592,7323
1762,592,2830
1763,592,1682
1764,592,2852
1765,592,5388
1766,592,1800
1767,592,4924
1768,592,2007
1769,592,8778
1770,592,4730
1771,592,3217
1772,592,3534
1773,592,7884
1774,592,1516
1775,593,8989
1776,593,4243
1777,594,1805
1778,594,2464
1779,595,5665
1780,595,6213
1781,595,8522
1782,595,6587
1783,595,7305
1784,595,4116
1785,595,5360
1786,596,3589
1787,596,1717
1788,596,8492
1789,596,4793
1790,597,6955
1791,597,2236
1792,598,7976
1793,598,5699
1794,598,5371
1795,598,7537
1796,598,4653
1797,598,5128
1798,599,2519
1799,599,1964
1800,599,8549
1801,599,9064
1802,599,8583
1803,599,1851
1804,599,4814
1805,599,3611
1806,600,1112
1807,600,5778
1808,600,9142
1809,601,7887
1810,601,4059
1811,601,2314
1812,602,5424
1813,602,5609
1814,602,1497
1815,602,8818
1816,603,3367
1817,603,4578
1818,603,7996
1819,604,3006
1820,604,2120
1821,604,5561
1822,605,7993
1823,605,692
1824,606,1228
1825,606,1495
1826,606,3236
1827,606,3358
1828,607,5296
1829,607,6733
1830,608,8976
1831,608,7615
1832,609,4618
1833,609,5320
1834,609,5332
1835,610,5944
1836,611,1028
1837,611,2125
1838,612,8925
1839,612,2138
1840,612,8195
1841,612,6490
1842,612,6763
1843,612,5745
1844,612,2377
1845,613,7636
1846,613,8273
1847,614,2776
1848,614,2435
1849,614,6148
1850,614,3749
1851,614,7030
1852,615,4693
1853,615,2425
1854,616,7891
1855,616,8414
1856,617,5517
1857,617,5664
1858,617,8453
1859,618,6307
1860,618,7369
1861,618,9004
1862,618,8339
1863,618,4684
1864,618,3740
1865,618,6456
1866,619,3829
1867,619,9083
1868,620,8114
1869,621,2403
1870,621,5183
1871,622,622
1872,622,2936
1873,622,1421
1874,623,6384
1875,623,3679
1876,623,5606
1877,623,3488
1878,623,640
1879,623,4717
1880,624,3033
1881,624,5531
1882,625,4739
1883,625,1197
1884,625,1823
1885,625,7511
1886,626,1513
1887,626,8355
1888,627,7382
1889,627,1944
1890,627,5127
1891,627,7516
1892,628,6684
